eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Ayton vs. Aldridge: Tip to Murray,"","","",,0,,,1629028,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,2,79,1,11:43:00,"","",MISS DeRozan 17' Pullup Jump Shot,"",,0,,,201942,17,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
8,4,0,1,11:40:00,Rubio REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,0,,,201937,20,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
9,5,2,1,11:33:00,Rubio Lost Ball Turnover (P1.T1),"",Murray STEAL (1 STL),TRUE,turnover,1,,,201937,27,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,2,50,1,11:31:00,Rubio BLOCK (1 BLK),"",MISS Murray 1' Running Dunk,"",,2,,,1627749,29,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
13,4,0,1,11:31:00,"","",Spurs Rebound,"",,2,,,1610612759,29,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","","",""
18,1,1,1,11:29:00,"","",Forbes 24' 3PT Jump Shot (3 PTS) (Murray 1 AST),TRUE,made.shot,2,3 - 0,-3,1627854,31,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
20,2,1,1,11:11:00,MISS Ayton 20' Jump Shot,"","","",,3,,,1629028,49,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
21,4,0,1,11:09:00,"","",Murray REBOUND (Off:0 Def:1),TRUE,missed.shot,3,,,1627749,51,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
