eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Gafford vs. Mahinmi: Tip to Thomas,"","","",,0,,,1629655,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,2,1,1,11:43:00,"","",MISS Thomas 25' 3PT Jump Shot,"",,0,,,202738,17,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
8,4,0,1,11:38:00,Gafford REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,0,,,1629655,22,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
9,1,52,1,11:27:00,Gafford 1' Alley Oop Dunk (2 PTS) (Dunn 1 AST),"","",TRUE,made.shot,1,0 - 2,2,1629655,33,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
11,1,1,1,11:11:00,"","",Bryant 26' 3PT Jump Shot (3 PTS) (Beal 1 AST),TRUE,made.shot,2,3 - 2,-1,1628418,49,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
13,2,1,1,10:52:00,MISS Satoransky 24' 3PT Jump Shot,"","","",,3,,,203107,68,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
14,4,0,1,10:49:00,"","",Bryant REBOUND (Off:0 Def:1),TRUE,missed.shot,3,,,1628418,71,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
15,5,1,1,10:41:00,Gafford STEAL (1 STL),"",Mahinmi Bad Pass Turnover (P1.T1),TRUE,turnover,4,,,101133,79,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,9,1,1,10:39:00,BULLS Timeout: Regular (Full 1 Short 0),"","","",,5,,,1610612741,81,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","",""
