eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Gibson vs. Theis: Tip to Randle,"","","",,0,,,201959,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,1,80,1,11:40:00,Randle 19' Step Back Jump Shot (2 PTS),"","",TRUE,made.shot,0,0 - 2,2,203944,20,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
8,5,2,1,11:18:00,Gibson STEAL (1 STL),"",Tatum Lost Ball Turnover (P1.T1),TRUE,turnover,1,,,1628369,42,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,2,41,1,11:14:00,MISS Ntilikina 1' Running Layup,"","","",,2,,,1628373,46,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
11,4,0,1,11:10:00,"","",Tatum REBOUND (Off:0 Def:1),TRUE,missed.shot,2,,,1628369,50,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
12,1,41,1,11:06:00,"","",Brown 2' Running Layup (2 PTS) (Walker 1 AST),TRUE,made.shot,3,2 - 2,TIE,1627759,54,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
14,1,1,1,10:47:00,Ntilikina 25' 3PT Jump Shot (3 PTS) (Randle 1 AST),"","",TRUE,made.shot,4,2 - 5,3,1628373,73,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
16,2,1,1,10:28:00,"","",MISS Brown 26' 3PT Jump Shot,"",,5,,,1627759,92,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
17,4,0,1,10:25:00,Gibson REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,5,,,201959,95,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
18,1,58,1,10:07:00,Gibson 5' Turnaround Hook Shot (2 PTS),"","",TRUE,made.shot,6,2 - 7,5,201959,113,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
19,6,1,1,09:56:00,Gibson P.FOUL (P1.T1) (J.Tiven),"","","",,7,,,201959,124,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
21,5,45,1,09:51:00,"","",Smart Out of Bounds - Bad Pass Turnover Turnover (P1.T2),TRUE,turnover,7,,,203935,129,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
22,5,1,1,09:38:00,Randle Bad Pass Turnover (P1.T1),"",Tatum STEAL (1 STL),TRUE,turnover,8,,,203944,142,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
24,1,74,1,09:32:00,"","",Walker 2' Running Reverse Layup (2 PTS) (Tatum 1 AST),TRUE,made.shot,9,4 - 7,3,202689,148,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
26,7,1,1,09:32:00,"","","","",,10,,,1610612738,148,"","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","",""
27,2,58,1,09:19:00,MISS Gibson 6' Turnaround Hook Shot,"","","",,10,,,201959,161,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
