eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Whiteside vs. Theis: Tip to Anthony,"","","",,0,,,202355,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,1,108,1,11:45:00,Ariza 1' Cutting Dunk Shot (2 PTS) (Whiteside 1 AST),"","",TRUE,made.shot,0,0 - 2,2,2772,15,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
9,5,1,1,11:26:00,Anthony STEAL (1 STL),"",Hayward Bad Pass Turnover (P1.T1),TRUE,turnover,1,,,202330,34,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,1,108,1,11:22:00,Trent Jr. 1' Cutting Dunk Shot (2 PTS) (Anthony 1 AST),"","",TRUE,made.shot,2,0 - 4,4,1629018,38,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
13,2,79,1,11:04:00,"","",MISS Smart 9' Pullup Jump Shot,"",,3,,,203935,56,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
14,4,0,1,11:02:00,Whiteside REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,3,,,202355,58,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
15,5,45,1,10:55:00,Whiteside Out of Bounds - Bad Pass Turnover Turnover (P1.T1),"","",TRUE,turnover,4,,,202355,65,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
16,6,1,1,10:46:00,Ariza P.FOUL (P1.T1) (T.Ford),"","","",,5,,,2772,74,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
18,2,1,1,10:37:00,"","",MISS Smart 25' 3PT Jump Shot,"",,5,,,203935,83,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
19,4,0,1,10:35:00,Ariza REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,5,,,2772,85,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
20,1,103,1,10:29:00,McCollum 24' 3PT Running Pull-Up Jump Shot (3 PTS),"","",TRUE,made.shot,6,0 - 7,7,203468,91,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
