eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Covington vs. Valanciunas: Tip to Melton,"","","",,0,,,203496,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,2,102,1,11:36:00,"","",MISS Brooks 9' Driving Floating Bank Jump Shot,"",,0,,,1628415,24,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
8,4,0,1,11:35:00,"","",Grizzlies Rebound,"",,0,,,1610612763,25,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","","",""
10,5,11,1,11:35:00,"","",Grizzlies Turnover: Shot Clock (T#1),TRUE,turnover,0,,,1610612763,25,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE
11,1,44,1,11:23:00,House Jr. 1' Reverse Layup (2 PTS) (Westbrook 1 AST),"","",TRUE,made.shot,1,0 - 2,2,1627863,37,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
13,2,1,1,11:06:00,"","",MISS Anderson 8' Jump Shot,"",,2,,,203937,54,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
14,4,0,1,11:05:00,ROCKETS Rebound,"","",TRUE,missed.shot,2,,,1610612745,55,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,TRUE,"","","","","","","","","","","",""
16,1,6,1,10:53:00,Harden 2' Driving Layup (2 PTS),"","",TRUE,made.shot,3,0 - 4,4,201935,67,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
17,2,80,1,10:33:00,"","",MISS Morant 27' 3PT Step Back Jump Shot,"",,4,,,1629630,87,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
18,4,0,1,10:31:00,Westbrook REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,4,,,201566,89,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
19,2,1,1,10:24:00,MISS Covington  3PT Jump Shot,"","","",,5,,,203496,96,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
20,4,0,1,10:23:00,"","",Valanciunas REBOUND (Off:0 Def:1),TRUE,missed.shot,5,,,202685,97,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
21,6,26,1,10:20:00,"","",Morant Offensive Charge Foul (P1.T1) (H.Workman),"",,6,,,1629630,100,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
23,5,37,1,10:20:00,"","",Morant Offensive Foul Turnover (P1.T2),TRUE,turnover,6,,,1629630,100,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
24,1,1,1,10:09:00,Harden 27' 3PT Jump Shot (5 PTS),"","",TRUE,made.shot,7,0 - 7,7,201935,111,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
25,2,67,1,09:56:00,"","",MISS Anderson 7' Hook Bank Shot,"",,8,,,203937,124,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
26,4,0,1,09:54:00,Westbrook REBOUND (Off:0 Def:2),"","",TRUE,missed.shot,8,,,201566,126,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
27,2,1,1,09:46:00,MISS Harden 29' 3PT Jump Shot,"","","",,9,,,201935,134,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
28,4,0,1,09:44:00,"","",Morant REBOUND (Off:0 Def:1),TRUE,missed.shot,9,,,1629630,136,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
29,1,101,1,09:38:00,"","",Anderson 3' Driving Floating Jump Shot (2 PTS) (Morant 1 AST),TRUE,made.shot,10,2 - 7,5,203937,142,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
31,6,2,1,09:27:00,"","",Valanciunas S.FOUL (P1.T2) (H.Workman),"",,11,,,202685,153,"","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
33,3,11,1,09:27:00,Westbrook Free Throw 1 of 2 (1 PTS),"","","",,11,2 - 8,6,201566,153,"","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34,3,12,1,09:27:00,MISS Westbrook Free Throw 2 of 2,"","","",,11,,,201566,153,"","",TRUE,"","","","","","","","","","",TRUE,"","","","","","",TRUE,"",TRUE,"","",TRUE,TRUE,"","","","",""
35,4,0,1,09:27:00,"","",Anderson REBOUND (Off:0 Def:1),TRUE,missed.shot,11,,,203937,153,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
36,2,101,1,09:03:00,"","",MISS Brooks 11' Driving Floating Jump Shot,"",,12,,,1628415,177,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
37,4,0,1,09:01:00,Westbrook REBOUND (Off:0 Def:3),"","",TRUE,missed.shot,12,,,201566,179,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
38,2,75,1,08:54:00,MISS Westbrook 1' Driving Finger Roll Layup,"","","",,13,,,201566,186,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
39,4,0,1,08:52:00,"","",Anderson REBOUND (Off:0 Def:2),TRUE,missed.shot,13,,,203937,188,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
40,5,45,1,08:49:00,"","",Melton Out of Bounds - Bad Pass Turnover Turnover (P1.T3),TRUE,turnover,14,,,1629001,191,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
41,6,4,1,08:45:00,Tucker OFF.Foul (P1) (K.Fitzgerald),"","","",,15,,,200782,195,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
43,5,37,1,08:45:00,Tucker Offensive Foul Turnover (P1.T1),"","",TRUE,turnover,15,,,200782,195,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
44,9,1,1,08:45:00,ROCKETS Timeout: Regular (Full 1 Short 0),"","","",,16,,,1610612745,195,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","",""
45,18,4,1,08:45:00,"","","","",,16,2 - 8,6,41,195,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
47,5,45,1,08:29:00,"","",Morant Out of Bounds - Bad Pass Turnover Turnover (P2.T4),TRUE,turnover,16,,,1629630,211,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
48,5,4,1,08:20:00,House Jr. Traveling Turnover (P1.T2),"","",TRUE,turnover,17,,,1627863,220,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
49,1,75,1,08:01:00,"","",Brooks 7' Driving Finger Roll Layup (2 PTS) (Melton 1 AST),TRUE,made.shot,18,4 - 8,4,1628415,239,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
51,2,1,1,07:45:00,MISS House Jr. 26' 3PT Jump Shot,"","","",,19,,,1627863,255,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
52,4,0,1,07:43:00,Harden REBOUND (Off:1 Def:0),"","","",,19,,,201935,257,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53,6,1,1,07:42:00,"","",Melton P.FOUL (P1.T3) (K.Fitzgerald),"",,19,,,1629001,258,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
