eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Favors vs. Markkanen: Tip to Ingram,"","","",,0,,,202324,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,2,1,1,11:48:00,MISS Redick 26' 3PT Jump Shot,"","","",,0,,,200755,12,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
8,4,0,1,11:44:00,Favors REBOUND (Off:1 Def:0),"","","",,0,,,202324,16,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,2,1,1,11:34:00,MISS Ball 25' 3PT Jump Shot,"","","",,0,,,1628366,26,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
10,4,0,1,11:30:00,"","",LaVine REBOUND (Off:0 Def:1),TRUE,missed.shot,0,,,203897,30,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
11,2,6,1,11:14:00,Favors BLOCK (1 BLK),"",MISS Young 3' Driving Layup,"",,1,,,201152,46,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
13,4,0,1,11:10:00,"","",Young REBOUND (Off:1 Def:0),"",,1,,,201152,50,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14,2,5,1,11:09:00,"","",MISS Young 3' Layup,"",,1,,,201152,51,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
15,4,0,1,11:09:00,Ingram REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,1,,,1627742,51,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
17,1,99,1,10:46:00,Ball 1' Cutting Finger Roll Layup Shot (2 PTS) (Redick 1 AST),"","",TRUE,made.shot,2,0 - 2,2,1628366,74,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
19,2,66,1,10:21:00,"","",MISS Markkanen 20' Jump Bank Shot,"",,3,,,1628374,99,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
20,4,0,1,10:17:00,Ingram REBOUND (Off:0 Def:2),"","",TRUE,missed.shot,3,,,1627742,103,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
21,1,98,1,10:06:00,Favors 2' Cutting Layup Shot (2 PTS) (Ingram 1 AST),"","",TRUE,made.shot,4,0 - 4,4,202324,114,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
23,2,6,1,09:53:00,"","",MISS Satoransky 5' Driving Layup,"",,5,,,203107,127,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
24,4,0,1,09:51:00,Favors REBOUND (Off:1 Def:1),"","",TRUE,missed.shot,5,,,202324,129,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
25,2,1,1,09:38:00,MISS Ball  3PT Jump Shot,"","","",,6,,,1628366,142,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
26,4,0,1,09:35:00,"","",Markkanen REBOUND (Off:0 Def:1),TRUE,missed.shot,6,,,1628374,145,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
27,1,41,1,09:30:00,"","",LaVine 1' Running Layup (2 PTS) (Satoransky 1 AST),TRUE,made.shot,7,2 - 4,2,203897,150,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
29,5,1,1,09:17:00,Ball Bad Pass Turnover (P1.T1),"",Dunn STEAL (1 STL),TRUE,turnover,8,,,1628366,163,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
31,1,5,1,09:12:00,"","",LaVine 1' Layup (4 PTS) (Dunn 1 AST),TRUE,made.shot,9,4 - 4,TIE,203897,168,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
33,1,9,1,08:59:00,Favors 1' Driving Dunk (4 PTS),"","",TRUE,made.shot,10,4 - 6,2,202324,181,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
34,2,1,1,08:44:00,"","",MISS Young  3PT Jump Shot,"",,11,,,201152,196,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
35,4,0,1,08:42:00,Ingram REBOUND (Off:0 Def:3),"","",TRUE,missed.shot,11,,,1627742,198,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
36,1,47,1,08:31:00,Ingram 7' Turnaround Jump Shot (2 PTS),"","",TRUE,made.shot,12,4 - 8,4,1627742,209,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
37,1,1,1,08:21:00,"","",Markkanen 26' 3PT Jump Shot (3 PTS) (LaVine 1 AST),TRUE,made.shot,13,7 - 8,1,1628374,219,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
39,2,1,1,08:08:00,MISS Ingram 26' 3PT Jump Shot,"","","",,14,,,1627742,232,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
