eventorder,eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,time.elapsed,is.end.of.possession,possession.end,possession.id,homedescription,visitordescription,score,scoremargin,player.1.id,neutraldescription,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
1,2,12,0,1,12:00:00,0,"",,1,"","",,,0,"","","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
2,4,10,0,1,12:00:00,0,"",,1,Jump Ball Drummond vs. Adebayo: Tip to Jones Jr.,"",,,203083,"","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
3,7,1,1,1,11:44:00,16,TRUE,made.shot,1,"",Robinson 28' 3PT Jump Shot (3 PTS) (Olynyk 1 AST),3 - 0,-3,1629130,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
4,9,5,13,1,11:24:00,36,TRUE,turnover,2,Drummond Backcourt Turnover (P1.T1),"",,,203083,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,10,1,79,1,11:06:00,54,TRUE,made.shot,3,"",Nunn 21' Pullup Jump Shot (2 PTS) (Olynyk 2 AST),5 - 0,-5,1629134,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
6,12,2,1,1,10:45:00,75,"",,4,MISS Love 27' 3PT Jump Shot,"",,,201567,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
7,13,4,0,1,10:43:00,77,TRUE,missed.shot,4,"",Adebayo REBOUND (Off:0 Def:1),,,1628389,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
8,16,1,1,1,10:28:00,92,TRUE,made.shot,5,"",Nunn 19' Jump Shot (4 PTS) (Olynyk 3 AST),7 - 0,-7,1629134,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
9,18,2,80,1,10:06:00,114,"",,6,MISS Osman 25' 3PT Step Back Jump Shot,"",,,1626224,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
10,19,4,0,1,10:04:00,116,TRUE,missed.shot,6,"",Nunn REBOUND (Off:0 Def:1),,,1629134,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
11,20,2,1,1,09:55:00,125,"",,7,"",MISS Adebayo 20' Jump Shot,,,1628389,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
12,21,4,0,1,09:52:00,128,TRUE,missed.shot,7,Love REBOUND (Off:0 Def:1),"",,,201567,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
13,22,5,1,1,09:48:00,132,TRUE,turnover,8,Love Bad Pass Turnover (P1.T2),Jones Jr. STEAL (1 STL),,,201567,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
14,24,1,6,1,09:43:00,137,"",,9,"",Adebayo 2' Driving Layup (2 PTS) (Robinson 1 AST),9 - 0,-9,1628389,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"","",""
15,26,6,2,1,09:43:00,137,"",,9,Drummond S.FOUL (P1.T1) (D.Collins),"",,,203083,"","","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
16,28,3,10,1,09:43:00,137,TRUE,last.ft.made,9,"",Adebayo Free Throw 1 of 1 (3 PTS),10 - 0,-10,1628389,"","","",TRUE,"","","","","","","","","","","","","","","","","","",TRUE,"","","","",TRUE,TRUE,"","","",""
17,29,2,1,1,09:28:00,152,"",,10,MISS Love 18' Jump Shot,"",,,201567,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
