eventorder,eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,time.elapsed,is.end.of.possession,possession.end,possession.id,homedescription,visitordescription,score,scoremargin,player.1.id,neutraldescription,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
1,2,12,0,1,12:00:00,0,"",,1,"","",,,0,"","","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
2,4,10,0,1,12:00:00,0,"",,1,Jump Ball Poeltl vs. Gobert: Tip to Forbes,"",,,1627751,"","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
3,7,2,79,1,11:43:00,17,"",,1,MISS DeRozan 18' Pullup Jump Shot,"",,,201942,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
4,8,4,0,1,11:39:00,21,TRUE,missed.shot,1,"",Gobert REBOUND (Off:0 Def:1),,,203497,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
5,9,6,1,1,11:27:00,33,"",,2,Poeltl P.FOUL (P1.T1) (N.Sago),"",,,1627751,"","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
6,11,5,45,1,11:20:00,40,TRUE,turnover,2,"",Bogdanovic Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,,202711,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,12,1,101,1,11:04:00,56,TRUE,made.shot,3,Forbes 6' Driving Floating Jump Shot (2 PTS) (DeRozan 1 AST),"",0 - 2,2,1627854,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
8,13,6,2,1,10:52:00,68,"",,4,Forbes S.FOUL (P1.T2) (T.Brothers),"",,,1627854,"","","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
9,16,3,11,1,10:52:00,68,"",,4,"",MISS Gobert Free Throw 1 of 2,,,203497,"","","",TRUE,"","","","","","","","","","",TRUE,"","","","","","",TRUE,"","","","","","","","","","",""
10,17,4,1,1,10:52:00,68,"",,4,"",Jazz Rebound,,,1610612762,"","","","",TRUE,"","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","","",""
11,18,3,12,1,10:52:00,68,TRUE,last.ft.made,4,"",Gobert Free Throw 2 of 2 (1 PTS),1 - 2,1,203497,"","","",TRUE,"","","","","","","","","","","","","","","","","","","",TRUE,"","",TRUE,TRUE,TRUE,"","","",""
12,19,1,99,1,10:33:00,87,TRUE,made.shot,5,Poeltl 2' Cutting Finger Roll Layup Shot (2 PTS) (DeRozan 2 AST),"",1 - 4,3,1627751,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
13,21,1,79,1,10:21:00,99,TRUE,made.shot,6,"",Bogdanovic 25' 3PT Pullup Jump Shot (3 PTS),4 - 4,TIE,202711,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
14,22,2,101,1,10:04:00,116,"",,7,MISS Lyles 7' Driving Floating Jump Shot,"",,,1626168,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
