eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Biyombo vs. Wagner: Tip to Graham,"","","",,0,,,202687,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,1,79,1,11:44:00,Rozier 19' Pullup Jump Shot (2 PTS),"","",TRUE,made.shot,0,0 - 2,2,1626179,16,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
8,2,5,1,11:20:00,"","",MISS Beal 2' Layup,"",,1,,,203078,40,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
9,4,0,1,11:17:00,"","",Bonga REBOUND (Off:1 Def:0),"",,1,,,1629067,43,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,1,7,1,11:15:00,"","",Wagner 1' Dunk (2 PTS) (Beal 1 AST),TRUE,made.shot,1,2 - 2,TIE,1629021,45,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
12,1,1,1,10:57:00,Washington  3PT Jump Shot (3 PTS) (Rozier 1 AST),"","",TRUE,made.shot,2,2 - 5,3,1629023,63,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
14,2,47,1,10:39:00,"","",MISS Hachimura 14' Turnaround Jump Shot,"",,3,,,1629060,81,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
15,4,0,1,10:37:00,Biyombo REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,3,,,202687,83,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
16,6,2,1,10:34:00,"","",Bonga S.FOUL (P1.T1) (E.Dalen),"",,4,,,1629067,86,"","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
18,3,11,1,10:34:00,MISS Graham Free Throw 1 of 2,"","","",,4,,,1628984,86,"","",TRUE,"","","","","","","","","","",TRUE,"","","","","","",TRUE,"","","","","","","","","","",""
19,4,1,1,10:34:00,HORNETS Rebound,"","","",,4,,,1610612766,86,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","","",""
20,3,12,1,10:34:00,Graham Free Throw 2 of 2 (1 PTS),"","",TRUE,last.ft.made,4,2 - 6,4,1628984,86,"","",TRUE,"","","","","","","","","","","","","","","","","","","",TRUE,"","",TRUE,TRUE,TRUE,"","","",""
21,2,3,1,10:18:00,"","",MISS Hachimura 6' Hook Shot,"",,5,,,1629060,102,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
22,4,0,1,10:16:00,Biyombo REBOUND (Off:0 Def:2),"","",TRUE,missed.shot,5,,,202687,104,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
23,1,1,1,10:03:00,Bridges  3PT Jump Shot (3 PTS) (Washington 1 AST),"","",TRUE,made.shot,6,2 - 9,7,1628970,117,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
25,1,98,1,09:40:00,"","",Hachimura 2' Cutting Layup Shot (2 PTS) (Wagner 1 AST),TRUE,made.shot,7,4 - 9,5,1629060,140,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
