eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball McGee vs. Jordan: Tip to Davis,"","","",,0,,,201580,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,2,1,1,11:47:00,MISS Green 26' 3PT Jump Shot,"","","",,0,,,201980,13,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
8,4,0,1,11:44:00,"","",Jordan REBOUND (Off:0 Def:1),TRUE,missed.shot,0,,,201599,16,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
9,1,79,1,11:23:00,"","",LeVert 8' Pullup Jump Shot (2 PTS) (Chandler 1 AST),TRUE,made.shot,1,2 - 0,-2,1627747,37,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
11,1,57,1,11:11:00,McGee 2' Driving Hook Shot (2 PTS) (Green 1 AST),"","",TRUE,made.shot,2,2 - 2,TIE,201580,49,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
13,2,79,1,10:47:00,"","",MISS Dinwiddie 19' Pullup Jump Shot,"",,3,,,203915,73,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
14,4,0,1,10:44:00,Davis REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,3,,,203076,76,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
15,1,9,1,10:37:00,James  Driving Dunk (2 PTS),"","",TRUE,made.shot,4,2 - 4,2,2544,83,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
16,2,108,1,10:24:00,McGee BLOCK (1 BLK),"",MISS Jordan 5' Cutting Dunk Shot,"",,5,,,201599,96,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
18,4,0,1,10:21:00,Green REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,5,,,201980,99,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
19,5,45,1,10:19:00,James Out of Bounds - Bad Pass Turnover Turnover (P1.T1),"","",TRUE,turnover,6,,,2544,101,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
20,1,98,1,10:07:00,"","",Harris 2' Cutting Layup Shot (2 PTS) (Jordan 1 AST),TRUE,made.shot,7,4 - 4,TIE,203925,113,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
22,2,86,1,09:46:00,MISS Davis 11' Turnaround Fadeaway Shot,"","","",,8,,,203076,134,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
23,4,0,1,09:43:00,"","",Jordan REBOUND (Off:0 Def:2),TRUE,missed.shot,8,,,201599,137,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
24,1,1,1,09:26:00,"","",Chandler 26' 3PT Jump Shot (3 PTS) (LeVert 1 AST),TRUE,made.shot,9,7 - 4,-3,201163,154,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
26,1,1,1,09:07:00,Green  3PT Jump Shot (3 PTS) (Davis 1 AST),"","",TRUE,made.shot,10,7 - 7,TIE,201980,173,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
