eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Fernando vs. Mahinmi: Tip to Collins,"","","",,0,,,1628981,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,5,10,1,11:51:00,HAWKS Turnover: 8 Second Violation (T#1),"","",TRUE,turnover,0,,,1610612737,9,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE
8,5,11,1,11:39:00,"","",Wizards Turnover: Shot Clock (T#1),TRUE,turnover,1,,,1610612764,21,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE
9,9,1,1,11:27:00,HAWKS Timeout: Regular (Full 1 Short 0),"","","",,2,,,1610612737,33,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","",""
10,2,1,1,11:10:00,MISS Huerter  3PT Jump Shot,"","","",,2,,,1628989,50,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
11,4,0,1,11:05:00,"","",Thomas REBOUND (Off:0 Def:1),TRUE,missed.shot,2,,,202738,55,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
12,2,79,1,11:02:00,"","",MISS Thomas 26' 3PT Pullup Jump Shot,"",,3,,,202738,58,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
13,4,0,1,10:59:00,Huerter REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,3,,,1628989,61,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
14,6,2,1,10:49:00,"","",Thomas S.FOUL (P1.T1) (B.Nansel),"",,4,,,202738,71,"","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
16,3,11,1,10:49:00,Hunter Free Throw 1 of 2 (1 PTS),"","","",,4,0 - 1,1,1629631,71,"","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,3,12,1,10:49:00,Hunter Free Throw 2 of 2 (2 PTS),"","",TRUE,last.ft.made,4,0 - 2,2,1629631,71,"","",TRUE,"","","","","","","","","","","","","","","","","","","",TRUE,"","",TRUE,TRUE,TRUE,"","","",""
