eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Okafor vs. Adams: Tip to Paul,"","","",,0,,,1626143,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,1,58,1,11:41:00,"","",Adams 3' Turnaround Hook Shot (2 PTS),TRUE,made.shot,0,2 - 0,-2,203500,19,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
8,1,6,1,11:20:00,Redick 2' Driving Layup (2 PTS) (Okafor 1 AST),"","",TRUE,made.shot,1,2 - 2,TIE,200755,40,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
10,1,57,1,11:01:00,"","",Adams 7' Driving Hook Shot (4 PTS),TRUE,made.shot,2,4 - 2,-2,203500,59,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
11,1,78,1,10:48:00,Redick 3' Floating Jump Shot (4 PTS) (Ball 1 AST),"","",TRUE,made.shot,3,4 - 4,TIE,200755,72,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
13,1,86,1,10:32:00,"","",Gallinari 9' Turnaround Fadeaway (2 PTS),TRUE,made.shot,4,6 - 4,-2,201568,88,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
14,6,2,1,10:25:00,"","",Gilgeous-Alexander S.FOUL (P1.T1) (S.Wright),"",,5,,,1628983,95,"","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
16,3,11,1,10:25:00,Holiday Free Throw 1 of 2 (1 PTS),"","","",,5,6 - 5,-1,201950,95,"","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,3,12,1,10:25:00,Holiday Free Throw 2 of 2 (2 PTS),"","",TRUE,last.ft.made,5,6 - 6,TIE,201950,95,"","",TRUE,"","","","","","","","","","","","","","","","","","","",TRUE,"","",TRUE,TRUE,TRUE,"","","",""
18,6,2,1,10:10:00,Ball S.FOUL (P1.T1) (S.Wright),"","","",,6,,,1628366,110,"","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
20,3,11,1,10:10:00,"","",MISS Gilgeous-Alexander Free Throw 1 of 2,"",,6,,,1628983,110,"","",TRUE,"","","","","","","","","","",TRUE,"","","","","","",TRUE,"","","","","","","","","","",""
21,4,1,1,10:10:00,"","",Thunder Rebound,"",,6,,,1610612760,110,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","","",""
22,3,12,1,10:10:00,"","",Gilgeous-Alexander Free Throw 2 of 2 (1 PTS),TRUE,last.ft.made,6,7 - 6,-1,1628983,110,"","",TRUE,"","","","","","","","","","","","","","","","","","","",TRUE,"","",TRUE,TRUE,TRUE,"","","",""
23,2,1,1,09:51:00,MISS Ingram 18' Jump Shot,"","","",,7,,,1627742,129,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
24,4,0,1,09:48:00,"","",Gallinari REBOUND (Off:0 Def:1),TRUE,missed.shot,7,,,201568,132,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
25,1,1,1,09:41:00,"","",Ferguson  3PT Jump Shot (3 PTS) (Paul 1 AST),TRUE,made.shot,8,10 - 6,-4,1628390,139,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
27,2,80,1,09:26:00,MISS Holiday 26' 3PT Step Back Jump Shot,"","","",,9,,,201950,154,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
28,4,0,1,09:23:00,"","",Gilgeous-Alexander REBOUND (Off:0 Def:1),TRUE,missed.shot,9,,,1628983,157,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
29,1,79,1,09:17:00,"","",Gallinari 19' Pullup Jump Shot (4 PTS) (Gilgeous-Alexander 1 AST),TRUE,made.shot,10,12 - 6,-6,201568,163,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
31,2,6,1,09:00:00,MISS Ball 2' Driving Layup,"","","",,11,,,1628366,180,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
