eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Gasol vs. Vucevic: Tip to Siakam,"","","",,0,,,201188,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,1,79,1,11:39:00,Siakam 17' Pullup Jump Shot (2 PTS),"","",TRUE,made.shot,0,0 - 2,2,1627783,21,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
8,2,1,1,11:22:00,"","",MISS Vucevic  3PT Jump Shot,"",,1,,,202696,38,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
9,4,0,1,11:19:00,Siakam REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,1,,,1627783,41,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
10,5,2,1,11:14:00,Siakam Lost Ball Turnover (P1.T1),"",Isaac STEAL (1 STL),TRUE,turnover,2,,,1627783,46,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
12,5,15,1,11:10:00,"","",Isaac Offensive Goaltending Turnover (P1.T1),TRUE,turnover,3,,,1628371,50,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
13,5,1,1,10:57:00,VanVleet Bad Pass Turnover (P1.T2),"",Fultz STEAL (1 STL),TRUE,turnover,4,,,1627832,63,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
15,1,47,1,10:40:00,"","",Isaac 9' Turnaround Jump Shot (2 PTS) (Vucevic 1 AST),TRUE,made.shot,5,2 - 2,TIE,1628371,80,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
16,1,6,1,10:27:00,VanVleet 2' Driving Layup (2 PTS),"","",TRUE,made.shot,6,2 - 4,2,1627832,93,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
17,1,99,1,10:02:00,"","",Fournier 4' Cutting Finger Roll Layup Shot (2 PTS) (Vucevic 2 AST),"",,7,4 - 4,TIE,203095,118,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"","",""
19,6,2,1,10:02:00,Powell S.FOUL (P1.T1) (Z.Zarba),"","","",,7,,,1626181,118,"","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
21,3,10,1,10:02:00,"","",Fournier Free Throw 1 of 1 (3 PTS),TRUE,last.ft.made,7,5 - 4,-1,203095,118,"","",TRUE,"","","","","","","","","","","","","","","","","","",TRUE,"","","","",TRUE,TRUE,"","","",""
22,2,79,1,09:53:00,MISS VanVleet 25' 3PT Pullup Jump Shot,"","","",,8,,,1627832,127,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
23,4,0,1,09:49:00,"","",Isaac REBOUND (Off:0 Def:1),TRUE,missed.shot,8,,,1628371,131,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
25,1,6,1,09:42:00,"","",Fultz 2' Driving Layup (2 PTS) (Isaac 1 AST),TRUE,made.shot,9,7 - 4,-3,1628365,138,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
27,1,1,1,09:15:00,Gasol  3PT Jump Shot (3 PTS) (VanVleet 1 AST),"","",TRUE,made.shot,10,7 - 7,TIE,201188,165,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
29,2,6,1,08:55:00,"","",MISS Fultz 3' Driving Layup,"",,11,,,1628365,185,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
30,4,0,1,08:53:00,Gasol REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,11,,,201188,187,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
31,2,1,1,08:34:00,MISS VanVleet 25' 3PT Jump Shot,"","","",,12,,,1627832,206,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
32,4,0,1,08:30:00,"","",Gordon REBOUND (Off:0 Def:1),TRUE,missed.shot,12,,,203932,210,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
33,1,108,1,08:18:00,"","",Gordon 2' Cutting Dunk Shot (2 PTS) (Vucevic 3 AST),TRUE,made.shot,13,9 - 7,-2,203932,222,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
36,1,6,1,08:00:00,Powell 2' Driving Layup (2 PTS),"","",TRUE,made.shot,14,9 - 9,TIE,1626181,240,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
37,1,79,1,07:44:00,"","",Isaac 16' Pullup Jump Shot (4 PTS) (Vucevic 4 AST),TRUE,made.shot,15,11 - 9,-2,1628371,256,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
38,2,73,1,07:24:00,MISS VanVleet 2' Driving Reverse Layup,"",Vucevic BLOCK (1 BLK),"",,16,,,1627832,276,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
40,4,0,1,07:22:00,"","",Vucevic REBOUND (Off:0 Def:1),TRUE,missed.shot,16,,,202696,278,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
41,2,63,1,07:17:00,"","",MISS Gordon 10' Fadeaway Jumper,"",,17,,,203932,283,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
