eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Gobert vs. Aldridge: Tip to O'Neale,"","","",,0,,,203497,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,1,6,1,11:47:00,Ingles 2' Driving Layup (2 PTS),"","",TRUE,made.shot,0,0 - 2,2,204060,13,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
8,5,4,1,11:35:00,"","",DeRozan Traveling Turnover (P1.T1),TRUE,turnover,1,,,201942,25,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,6,1,1,11:23:00,"","",Lyles P.FOUL (P1.T1) (B.Taylor),"",,2,,,1626168,37,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
11,2,102,1,11:14:00,MISS Ingles 6' Driving Floating Bank Jump Shot,"","","",,2,,,204060,46,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
12,4,0,1,11:13:00,JAZZ Rebound,"","","",,2,,,1610612762,47,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","","",""
14,1,98,1,11:11:00,Mitchell 2' Cutting Layup Shot (2 PTS) (Ingles 1 AST),"","",TRUE,made.shot,2,0 - 4,4,1628378,49,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
16,1,79,1,11:01:00,"","",Murray 14' Pullup Jump Shot (2 PTS),TRUE,made.shot,3,2 - 4,2,1627749,59,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
17,5,2,1,10:50:00,Gobert Lost Ball Turnover (P1.T1),"",Forbes STEAL (1 STL),TRUE,turnover,4,,,203497,70,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
19,2,79,1,10:46:00,"","",MISS Forbes 25' 3PT Pullup Jump Shot,"",,5,,,1627854,74,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
20,4,0,1,10:43:00,Gobert REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,5,,,203497,77,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
21,5,1,1,10:25:00,Bogdanovic Bad Pass Turnover (P1.T2),"",Murray STEAL (1 STL),TRUE,turnover,6,,,202711,95,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
