eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Birch vs. Capela: Tip to Westbrook,"","","",,0,,,203920,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
47,5,39,1,11:48:00,"","",Tucker Step Out of Bounds Turnover (P1.T1),TRUE,turnover,0,,,200782,12,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,2,79,1,11:30:00,MISS Fournier 26' 3PT Pullup Jump Shot,"","","",,1,,,203095,30,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
10,4,0,1,11:28:00,Birch REBOUND (Off:1 Def:0),"","","",,1,,,203920,32,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,1,1,1,11:23:00,Fultz 26' 3PT Jump Shot (3 PTS) (Gordon 1 AST),"","",TRUE,made.shot,1,0 - 3,3,1628365,37,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
13,2,101,1,11:05:00,"","",MISS Harden 8' Driving Floating Jump Shot,"",,2,,,201935,55,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
14,4,0,1,10:57:00,"","",Harden REBOUND (Off:1 Def:0),"",,2,,,201935,63,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15,1,72,1,10:57:00,"","",Harden 1' Putback Layup (2 PTS),TRUE,made.shot,2,2 - 3,1,201935,63,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
16,6,1,1,10:52:00,"","",Harden P.FOUL (P1.T1) (L.Holtkamp),"",,3,,,201935,68,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
18,2,79,1,10:44:00,MISS Fultz 12' Pullup Jump Shot,"","","",,3,,,1628365,76,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
19,4,0,1,10:41:00,Gordon REBOUND (Off:1 Def:0),"","","",,3,,,203932,79,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20,2,1,1,10:37:00,MISS Gordon 26' 3PT Jump Shot,"","","",,3,,,203932,83,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
21,4,0,1,10:35:00,"","",Capela REBOUND (Off:0 Def:1),TRUE,missed.shot,3,,,203991,85,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
22,2,6,1,10:25:00,"","",MISS Harden 5' Driving Layup,"",,4,,,201935,95,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
23,4,0,1,10:21:00,Fultz REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,4,,,1628365,99,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
