eventorder,eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,time.elapsed,is.end.of.possession,possession.end,possession.id,homedescription,visitordescription,score,scoremargin,player.1.id,neutraldescription,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
1,2,12,0,1,12:00:00,0,"",,0,"","",,,0,"","","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
2,4,10,0,1,12:00:00,0,"",,0,Jump Ball Holmes vs. Cauley-Stein: Tip to Bjelica,"",,,1626158,"","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
3,8,2,1,1,11:43:00,17,"",,0,MISS Bjelica 27' 3PT Jump Shot,"",,,202357,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
4,9,4,0,1,11:36:00,24,TRUE,missed.shot,0,"",Lee REBOUND (Off:0 Def:1),,,1627814,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
5,10,1,78,1,11:29:00,31,TRUE,made.shot,1,"",Lee 12' Floating Jump Shot (2 PTS) (Robinson III 1 AST),2 - 0,-2,1627814,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
6,12,2,66,1,11:09:00,51,"",,2,MISS Barnes 6' Jump Bank Shot,"",,,203084,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
7,13,4,0,1,11:06:00,54,TRUE,missed.shot,2,"",Paschall REBOUND (Off:0 Def:1),,,1629672,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
8,14,5,45,1,10:57:00,63,TRUE,turnover,3,"",Paschall Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,,1629672,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,15,2,6,1,10:49:00,71,"",,4,MISS Hield 3' Driving Layup,Cauley-Stein BLOCK (1 BLK),,,1627741,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
10,17,4,0,1,10:40:00,80,TRUE,missed.shot,4,"",Lee REBOUND (Off:0 Def:2),,,1627814,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
11,18,2,47,1,10:35:00,85,"",,5,Holmes BLOCK (1 BLK),MISS Cauley-Stein 5' Turnaround Jump Shot,,,1626161,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
12,20,4,0,1,10:31:00,89,"",,5,"",Cauley-Stein REBOUND (Off:1 Def:0),,,1626161,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13,23,1,50,1,10:27:00,93,TRUE,made.shot,5,"",Robinson III 2' Running Dunk (2 PTS) (Cauley-Stein 1 AST),4 - 0,-4,203922,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
14,24,5,2,1,10:18:00,102,TRUE,turnover,6,Fox Lost Ball Turnover (P1.T1),Cauley-Stein STEAL (1 STL),,,1628368,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
15,26,1,41,1,10:15:00,105,TRUE,made.shot,7,"",Cauley-Stein 2' Running Layup (2 PTS),6 - 0,-6,1626161,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
16,27,6,1,1,09:59:00,121,"",,8,"",Robinson III P.FOUL (P1.T1) (J.Goldenberg),,,203922,"","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
17,29,1,98,1,09:53:00,127,"",,8,Holmes 1' Cutting Layup Shot (2 PTS) (Hield 1 AST),"",6 - 2,-4,1626158,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"","",""
18,31,6,2,1,09:53:00,127,"",,8,"",Robinson III S.FOUL (P2.T2) (E.Dalen),,,203922,"","","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
