eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Gibson vs. Jackson Jr.: Tip to Gibson,"","","",,0,,,201959,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,1,5,1,11:43:00,Gibson 1' Layup (2 PTS) (Payton 1 AST),"","",TRUE,made.shot,0,0 - 2,2,201959,17,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
9,2,80,1,11:15:00,"","",MISS Jackson Jr. 22' Step Back Jump Shot,"",,1,,,1628991,45,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
10,4,0,1,11:14:00,"","",Grizzlies Rebound,"",,1,,,1610612763,46,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","","",""
12,1,57,1,11:00:00,"","",Valanciunas 9' Driving Hook Shot (2 PTS),TRUE,made.shot,1,2 - 2,TIE,202685,60,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
13,2,1,1,10:43:00,MISS Gibson 18' Jump Shot,"","","",,2,,,201959,77,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
14,4,0,1,10:41:00,"","",Morant REBOUND (Off:0 Def:1),TRUE,missed.shot,2,,,1629630,79,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
15,2,78,1,10:33:00,"","",MISS Jackson Jr. 12' Floating Jump Shot,"",,3,,,1628991,87,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
16,4,0,1,10:31:00,Randle REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,3,,,203944,89,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
17,6,2,1,10:26:00,"","",Jackson Jr. S.FOUL (P1.T1) (J.Tiven),"",,4,,,1628991,94,"","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
19,3,11,1,10:26:00,MISS Randle Free Throw 1 of 2,"","","",,4,,,203944,94,"","",TRUE,"","","","","","","","","","",TRUE,"","","","","","",TRUE,"","","","","","","","","","",""
20,4,1,1,10:26:00,KNICKS Rebound,"","","",,4,,,1610612752,94,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","","",""
21,3,12,1,10:26:00,Randle Free Throw 2 of 2 (1 PTS),"","",TRUE,last.ft.made,4,2 - 3,1,203944,94,"","",TRUE,"","","","","","","","","","","","","","","","","","","",TRUE,"","",TRUE,TRUE,TRUE,"","","",""
22,1,6,1,10:14:00,"","",Morant 1' Driving Layup (2 PTS),TRUE,made.shot,5,4 - 3,-1,1629630,106,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
