eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,away.6
0,1,101122,2561,201579,202331,201954,200752,201578,201188,202347,201144,NA
72,1,101122,2561,201579,202331,201954,200752,201578,201188,201564,201144,NA
73,1,101122,2561,201579,202362,201954,200752,201578,201188,201564,201144,NA
74,1,101122,201946,201579,202362,201954,200752,201578,201188,201564,201144,NA
81,1,101122,201946,201579,202362,201954,202347,201578,201188,201564,201144,NA
88,1,101122,201946,201579,202362,201954,202347,201578,201188,201564,2754,NA
93,1,101122,201946,1902,202362,201954,202347,201578,201188,201564,2754,NA
94,1,101122,201946,1902,202362,201985,202347,201578,201188,201564,2754,NA
95,1,101122,201946,1902,202362,201985,202347,201967,201188,201564,2754,NA
119,2,202362,201946,1902,201985,2563,200752,201578,201564,2754,201967,NA
142,2,202331,201946,1902,201985,2563,200752,201578,201564,2754,201967,NA
150,2,202331,201946,1902,201985,2563,200752,201578,201144,2754,201967,NA
151,2,202331,201946,2561,201985,2563,200752,201578,201144,2754,201967,NA
172,2,202331,201946,2561,201954,2563,200752,201578,201144,2754,201967,NA
194,2,202331,201579,2561,201954,2563,200752,201578,201144,2754,201967,NA
195,2,202331,201579,2561,201954,101122,200752,201578,201144,2754,201967,NA
196,2,202331,201579,2561,201954,101122,200752,201188,201144,2754,201967,NA
197,2,202331,201579,2561,201954,101122,200752,201188,201144,201564,201967,NA
259,2,202331,1902,2561,201954,101122,200752,201188,201144,201564,201967,NA
270,2,202331,1902,2561,201954,2563,200752,201188,201144,201564,201967,NA
279,2,202331,1902,2561,201954,2563,200752,201188,2754,201564,201967,NA
280,2,202331,1902,2561,201954,2563,202347,201188,2754,201564,201967,NA
285,2,202331,1902,2561,201954,2563,202347,201632,2754,201564,201967,NA
292,3,101122,2561,201579,202331,201954,200752,201578,201188,202347,201144,NA
316,3,101122,2561,201579,202331,201954,200752,201578,201188,2754,201144,NA
353,3,101122,2561,201579,202331,201954,200752,202347,201188,2754,201144,NA
354,3,101122,2561,201579,202331,201954,201967,202347,201188,2754,201144,NA
355,3,101122,201946,201579,202331,201954,201967,202347,201188,2754,201144,NA
356,3,101122,201946,201579,202362,201954,201967,202347,201188,2754,201144,NA
376,3,2563,201946,201579,202362,201954,201967,202347,201188,2754,201144,NA
377,3,2563,201946,1902,202362,201954,201967,202347,201188,2754,201144,NA
386,3,2563,201946,1902,202362,201954,201967,202347,201578,2754,201144,NA
387,3,2563,201946,1902,202362,201954,201967,201564,201578,2754,201144,NA
408,3,2563,201946,1902,202362,201954,201632,201564,201578,2754,201144,NA
423,3,2563,201946,1902,202362,201985,201632,201564,201578,2754,201144,NA
425,3,2563,201946,1902,202362,201985,201632,201564,201578,2754,202951,NA
435,4,101122,202362,201946,1902,201985,201578,201564,2754,201632,202951,2563
447,4,101122,202362,201946,1902,201985,201578,201564,200752,201632,202951,2563
457,4,101122,202362,201946,1902,201954,201578,201564,200752,201632,202951,2563
463,4,202331,202362,201946,1902,201954,201578,201564,200752,201632,202951,2563
474,4,202331,101122,201946,1902,201954,201578,201564,200752,201632,202951,2563
476,4,202331,101122,2561,1902,201954,201578,201564,200752,201632,202951,2563
477,4,202331,101122,2561,201579,201954,201578,201564,200752,201632,202951,2563
479,4,202331,101122,2561,201579,201954,201578,201564,200752,201188,202951,2563
509,4,202331,101122,2561,201579,201954,201578,201564,200752,201188,201144,2563
535,4,202331,101122,2561,201579,201954,201578,2754,200752,201188,201144,2563
585,4,202331,101122,2561,201579,201954,201564,2754,200752,201188,201144,2563
595,4,202331,101122,2561,201946,201954,201564,2754,200752,201188,201144,2563
