eventnum,period,away.1,away.2,away.3,away.4,away.5,away.6,home.1,home.2,home.3,home.4,home.5
0,1,1890,1717,2217,2753,467,2073,202330,200794,2744,1952,2734
54,1,1890,1717,2217,2753,467,2073,101139,200794,2744,1952,2734
68,1,1890,1717,2217,2753,467,2073,101139,200794,2744,1952,2248
69,1,1890,1717,2217,2753,467,2073,101139,200794,2744,202692,2248
70,1,1890,1717,101133,2753,467,2073,101139,200794,2744,202692,2248
71,1,1890,1885,101133,2753,467,2073,101139,200794,2744,202692,2248
72,1,1890,1885,101133,1891,467,2073,101139,200794,2744,202692,2248
88,1,1717,1885,101133,1891,467,2073,101139,200794,2744,202692,2248
111,1,1717,1885,101133,1891,467,2073,101139,200794,202324,202692,2248
112,1,1717,1885,101133,1891,467,2073,101139,202683,202324,202692,2248
125,2,1717,101133,1885,1891,201958,NA,101139,2248,202692,202324,202683
145,2,1717,101133,1885,1891,201958,NA,202330,2248,202692,202324,202683
154,1,2073,1885,101133,1891,467,2073,101139,202683,202324,202692,2248
176,2,1717,2217,1885,1891,201958,NA,202330,2248,202692,202324,202683
177,2,1717,2217,1890,1891,201958,NA,202330,2248,202692,202324,202683
178,2,1717,2217,1890,2753,201958,NA,202330,2248,202692,202324,202683
193,2,1717,2217,1890,2753,467,NA,202330,2248,202692,202324,202683
194,2,1891,2217,1890,2753,467,NA,202330,2248,202692,202324,202683
195,2,1891,2217,1890,2753,467,NA,202330,2734,202692,202324,202683
196,2,1891,2217,1890,2753,467,NA,202330,2734,1952,202324,202683
197,2,1891,2217,1890,2753,467,NA,202330,2734,1952,200794,202683
203,2,1891,2217,1890,2753,467,NA,202330,2734,1952,200794,2744
214,2,1891,2217,1890,1717,467,NA,202330,2734,1952,200794,2744
232,2,1891,2217,1890,1717,467,NA,101139,2734,1952,200794,2744
256,3,1890,1717,2217,2753,467,NA,202330,200794,2744,1952,2734
303,3,1890,1885,2217,2753,467,NA,202330,200794,2744,1952,2734
304,3,1890,1885,2217,1891,467,NA,202330,200794,2744,1952,2734
309,3,201958,1885,2217,1891,467,NA,202330,200794,2744,1952,2734
320,3,201958,1885,101133,1891,467,NA,202330,200794,2744,1952,2734
321,3,1717,1885,101133,1891,467,NA,202330,200794,2744,1952,2734
330,3,1717,1885,101133,1891,467,NA,202330,200794,2744,1952,2248
331,3,1717,1885,101133,1891,467,NA,101139,200794,2744,1952,2248
340,3,1717,1885,101133,1891,467,NA,101139,200794,202324,1952,2248
360,3,1717,1885,101133,1891,467,NA,101139,200794,202324,202692,2248
361,3,1717,1885,101133,1891,467,NA,101139,202683,202324,202692,2248
370,3,1717,1885,101133,1891,467,NA,101139,202683,200794,202692,2248
376,4,1890,1717,101133,1891,201958,NA,200794,101139,2248,202692,202683
394,4,1890,1885,101133,1891,201958,NA,200794,101139,2248,202692,202683
418,4,1890,1885,101133,1891,201958,NA,200794,101139,2248,202692,2744
419,4,1890,1885,2217,1891,201958,NA,200794,101139,2248,202692,2744
432,4,1890,1717,2217,1891,201958,NA,200794,101139,2248,202692,2744
443,4,1890,1717,2217,1891,201958,NA,200794,202330,2248,202692,2744
444,4,1890,1717,2217,467,201958,NA,200794,202330,2248,202692,2744
461,4,1890,1717,2217,467,201958,NA,200794,202330,2248,1952,2744
462,4,1890,1717,2217,467,201958,NA,200794,202330,2734,1952,2744
471,4,1890,1717,2217,467,1891,NA,200794,202330,2734,1952,2744
496,4,1890,1717,2217,467,1891,NA,200794,202330,2734,1952,101139
497,4,1890,201958,2217,467,1891,NA,200794,202330,2734,1952,101139
