EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5
0,1,977,203944,201579,203903,1626156,201601,201933,201599,200755,101108
56,1,977,203944,201579,1626273,1626156,201601,201933,201599,200755,101108
57,1,977,203944,204028,1626273,1626156,201601,201933,201599,200755,101108
58,1,977,203944,204028,1626273,1626156,201601,202325,201599,200755,101108
81,1,977,203944,204028,1626273,1626156,201601,202325,201599,2037,101108
82,1,977,203944,204028,1626273,1626156,201145,202325,201599,2037,101108
90,1,1897,203944,204028,1626273,1626156,201145,202325,201599,2037,101108
101,1,1897,203527,204028,1626273,1626156,201145,202325,201599,2037,101108
102,1,1897,203527,204028,1626273,1626156,201145,202325,201599,2037,203085
115,1,1897,203527,204028,1626273,1626156,201145,202325,202332,2037,203085
143,2,203903,1626273,204028,1897,203527,202325,2037,201145,203085,202332
173,2,203903,1626273,204028,1897,203527,201933,2037,201145,203085,202332
182,2,203903,1626273,204028,203944,203527,201933,2037,201145,203085,202332
198,2,203903,1626273,204028,203944,977,201933,2037,201145,203085,202332
199,2,203903,1626273,204028,203944,977,201933,200755,201145,203085,202332
200,2,203903,1626273,204028,203944,977,201933,200755,201601,203085,202332
201,2,203903,1626273,204028,203944,977,201933,200755,201601,101108,202332
203,2,203903,1626273,204028,203944,977,201933,200755,201601,101108,201599
205,2,203903,1626273,201579,203944,977,201933,200755,201601,101108,201599
206,2,203903,1626156,201579,203944,977,201933,200755,201601,101108,201599
234,2,203903,1626156,204028,203944,977,201933,200755,201601,101108,201599
242,2,203903,1626156,204028,203944,977,201145,200755,201601,101108,201599
267,2,203903,1626156,204028,203944,977,201145,200755,2037,101108,201599
274,3,977,203944,201579,203903,1626156,201601,201933,201599,200755,101108
316,3,977,203944,201579,203903,1626156,201601,201145,201599,200755,101108
319,3,977,203944,201579,203903,1626273,201601,201145,201599,200755,101108
342,3,203527,203944,201579,203903,1626273,201601,201145,201599,200755,101108
343,3,203527,204028,201579,203903,1626273,201601,201145,201599,200755,101108
344,3,203527,204028,1897,203903,1626273,201601,201145,201599,200755,101108
345,3,203527,204028,1897,203903,1626273,2037,201145,201599,200755,101108
346,3,203527,204028,1897,203903,1626273,2037,201145,201599,202325,101108
347,3,203527,204028,1897,203903,1626273,2037,201145,201599,202325,203085
388,4,203903,1626273,204028,1897,203527,202325,2037,201145,203085,202332
398,4,1626156,1626273,204028,1897,203527,202325,2037,201145,203085,202332
422,4,1626156,1626273,204028,1897,203527,202325,203143,201145,203085,202332
423,4,1626156,1626273,203135,1897,203527,202325,203143,201145,203085,202332
438,4,1626156,1626273,203135,1897,203527,202325,203143,201145,203912,202332
442,4,1626156,1626273,203135,1897,203527,202325,203143,201145,203912,201965
450,4,1626156,1626273,203135,203944,203527,202325,203143,201145,203912,201965
451,4,1626156,1626273,203135,203944,203527,202332,203143,201145,203912,201965
500,4,1897,1626273,203135,203944,203527,202332,203143,201145,203912,201965
