eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,home.6
0,1,203798,101107,2744,201587,202689,203926,202703,2200,202710,201565,NA
45,1,1626163,101107,2744,201587,202689,203926,202703,2200,202710,201565,NA
46,1,1626163,203087,2744,201587,202689,203926,202703,2200,202710,201565,NA
62,1,1626163,203087,2744,201587,202689,203503,202703,2200,202710,201565,NA
63,1,1626163,203087,2744,201587,202689,203503,2550,2200,202710,201565,NA
64,1,1626163,203087,2744,201587,202689,203503,2550,2200,202710,201149,NA
73,1,1626163,203087,201150,201587,202689,203503,2550,2200,202710,201149,NA
86,1,1626163,203087,201150,201587,202689,203503,2550,201959,202710,201149,NA
87,1,1626163,203087,201150,202391,202689,203503,2550,201959,202710,201149,NA
113,1,1626163,203087,201150,202391,202689,203503,2550,201959,202734,201149,NA
122,2,101107,1626163,203087,201150,202391,201565,203503,201149,201959,202734,NA
145,2,101107,1626163,203087,201150,202391,201565,203926,201149,201959,202734,NA
149,2,101107,203798,203087,201150,202391,201565,203926,201149,201959,202734,NA
164,2,101107,203798,203087,201150,202391,201565,203926,202703,201959,202734,NA
165,2,101107,201587,203087,201150,202391,201565,203926,202703,201959,202734,NA
173,2,101107,201587,203087,201150,202391,201565,202710,202703,201959,202734,NA
182,2,101107,201587,203087,2744,202391,201565,202710,202703,201959,202734,NA
198,2,101107,201587,203087,2744,202391,201565,202710,202703,2200,202734,NA
199,2,101107,201587,203087,2744,202689,201565,202710,202703,2200,202734,NA
216,2,101107,201587,203087,2744,202689,2550,202710,202703,2200,202734,NA
237,2,101107,201587,203087,2744,202689,2550,202710,202703,201565,202734,NA
238,2,101107,201587,203087,2744,202689,2550,202710,202703,201565,201149,NA
239,2,1626163,201587,203087,2744,202689,2550,202710,202703,201565,201149,NA
240,2,1626163,201587,203584,2744,202689,2550,202710,202703,201565,201149,NA
262,2,1626163,201587,203584,2744,202689,203926,202710,202703,201565,201149,NA
263,2,1626163,201587,203584,2744,202689,203926,202710,202703,201565,2200,NA
264,2,101107,201587,203584,2744,202689,203926,202710,202703,201565,2200,NA
272,3,203798,101107,2744,201587,202689,203926,202703,2200,202710,201565,NA
342,3,203798,101107,2744,201587,202689,203926,201959,2200,202710,201565,NA
350,3,203798,1626163,2744,201587,202689,203926,201959,2200,202710,201565,NA
351,3,203798,1626163,2744,201587,202689,201149,201959,2200,202710,201565,NA
352,3,203798,1626163,2744,201587,202689,201149,201959,203503,202710,201565,NA
359,3,203798,1626163,2744,201587,202689,201149,201959,203503,202710,201166,NA
367,3,203087,1626163,2744,201587,202689,201149,201959,203503,202710,201166,NA
368,3,203087,1626163,201150,201587,202689,201149,201959,203503,202710,201166,NA
378,3,203087,1626163,201150,202391,202689,201149,201959,203503,202710,201166,NA
407,3,203087,1626163,201150,202391,202689,201149,201959,203503,202734,201166,NA
415,4,101107,1626163,203087,201150,202391,202703,203503,201149,201959,202734,201166
453,4,101107,1626163,203087,201150,202391,202703,203503,2200,201959,202734,201166
454,4,101107,201587,203087,201150,202391,202703,203503,2200,201959,202734,201166
455,4,101107,201587,203087,2744,202391,202703,203503,2200,201959,202734,201166
458,4,101107,201587,203087,2744,202391,202703,202710,2200,201959,202734,201166
464,4,101107,201587,203087,2744,202689,202703,202710,2200,201959,202734,201166
473,4,101107,201587,203087,2744,202689,202703,202710,2200,201149,202734,201166
522,4,101107,201587,203087,2744,202689,202703,202710,201149,201959,202734,201166
523,4,101107,201587,203087,2744,202689,202703,203503,201149,201959,202734,201166
531,4,101107,201587,203798,2744,202689,202703,203503,201149,201959,202734,201166
533,4,101107,201587,203798,2744,202689,202703,202710,201149,201959,202734,201166
540,4,101107,201587,203798,2744,202689,202703,202710,2200,201959,202734,201166
544,4,101107,201587,203798,2744,202689,201959,202710,201149,201959,202734,201166
545,4,101107,201587,203798,2744,202689,202703,202710,201149,202703,202734,201166
546,4,101107,201587,203087,2744,202689,202703,202710,201149,202703,202734,201166
547,4,101107,201587,203087,201150,202689,202703,202710,201149,202703,202734,201166
