EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5
0,1,203458,200782,2199,1626164,203462,2546,204001,201577,201167,204038
42,1,203458,200782,2199,201603,203462,2546,204001,201577,201167,204038
72,1,203141,200782,2199,201603,203462,2546,204001,201577,201167,204038
85,1,203141,200782,2199,201603,203895,2546,204001,201577,201167,204038
93,1,203141,200782,203933,201603,203895,2546,204001,201577,201167,204038
94,1,203141,200782,203933,202693,203895,2546,204001,201577,201167,204038
95,1,203141,200782,203933,202693,203895,2546,1626170,201577,201167,204038
96,1,203141,200782,203933,202693,203895,2546,1626170,201577,202498,204038
105,1,203141,200782,203933,202693,203895,2546,1626170,200811,202498,204038
111,1,203141,200782,203933,202693,203895,202682,1626170,200811,202498,204038
134,2,203141,203895,203933,202693,202720,204001,201167,202498,202682,2756
165,2,203141,203895,203933,202693,202720,204001,201167,202498,2546,2756
166,2,203141,203895,203933,202693,202720,204001,201167,202498,2546,204038
174,2,200782,203895,203933,202693,202720,204001,201167,202498,2546,204038
188,2,200782,203895,203933,202693,202720,203124,201167,202498,2546,204038
189,2,200782,203895,203933,202693,202720,203124,2756,202498,2546,204038
198,2,200782,203895,203933,202693,202720,203124,2756,202682,2546,204038
199,2,200782,203895,203933,202693,203458,203124,2756,202682,2546,204038
206,2,200782,1626164,203933,202693,203458,203124,2756,202682,2546,204038
229,2,200782,1626164,203933,202693,203458,203124,2756,201577,2546,204038
240,2,200782,1626164,203933,202693,2199,203124,2756,201577,2546,204038
257,2,200782,1626164,203895,202693,2199,203124,2756,201577,2546,204038
268,3,200782,2199,1626164,203462,203141,2546,204001,201577,201167,204038
325,3,200782,2199,1626164,203462,203141,2546,1626170,201577,201167,204038
326,3,200782,2199,1626164,203462,203141,2546,1626170,201577,201167,202498
327,3,200782,2199,1626164,203462,203933,2546,1626170,201577,201167,202498
343,3,200782,2199,1626164,203895,203933,2546,1626170,201577,201167,202498
365,3,200782,202720,1626164,203895,203933,2546,1626170,201577,201167,202498
366,3,200782,202720,1626164,203895,202693,2546,1626170,201577,201167,202498
367,3,200782,202720,1626164,203895,202693,2546,1626170,201577,2756,202498
368,3,200782,202720,1626164,203895,202693,2546,1626170,202682,2756,202498
376,4,200782,1626164,203895,202693,202720,204001,1626170,202498,202682,2756
396,4,200782,201603,203895,202693,202720,204001,1626170,202498,202682,2756
409,4,203462,201603,203895,202693,202720,204001,1626170,202498,202682,2756
410,4,203462,201603,203895,202693,202720,203124,1626170,202498,202682,2756
415,4,203462,201603,203895,202693,202720,203124,1626170,201167,202682,2756
427,4,203462,201603,203895,202693,203458,203124,1626170,201167,202682,2756
462,4,203462,201603,1626164,202693,203458,203124,1626170,201167,202682,2756
463,4,203462,201603,1626164,202693,203458,203124,1626170,200811,202682,2756
475,4,203462,201603,1626164,202693,203458,203124,1626170,200811,203648,2756
483,4,203895,201603,1626164,202693,203458,203124,1626170,200811,203648,2756
